LECB-N|Barcelona (Combined North) - Barcelona|LECB_RN|LECB-N
LECB-TMA|Barcelona (FL305-) - Barcelona|LECB_DDI|LECB-TMA
LECB-TMA|Barcelona (FL305-) - Barcelona|LECB_XAL|LECB-TMA
LECB-PPI|Barcelona (North East Sector) - Barcelona|LECB_PPI|LECB-PPI
LECB-LLI|Barcelona (Levante Sector) - Barcelona|LECB_LLI|LECB-LLI
LECB-CCC|Barcelona (Central Sector) - Barcelona|LECB_CCC|LECB-CCC
LECB-VNI|Barcelona (Verso North Sector) - Barcelona|LECB_VNI|LECB-VNI
LECB-MVS|Barcelona (Mediterraneo Sector) - Barcelona|LECB_MVS|LECB-MVS
LECL|Valencia (FL245-)||LECL
LECM|Madrid|LEMD|LECM
LECM-ALL|Madrid (Combined LECM+LECS) - Madrid|LECM_ALL|LECM-ALL
LECM-R1|Madrid|LECM_R1|LECM-R1
LECM-SAI|Madrid (Santiago-Asturias Sector) - Madrid|LECM_SAI|LECM-SAI
LECM-SAO|Madrid (Covers Above FL345) - Madrid|LECM_SAO|LECM-SAO
LECM-SAS|Madrid (Covers up to FL345) - Madrid|LECM_SAS|LECM-SAS
LECM-BDP|Madrid (Bilbao-Pamplona Sector) - Madrid|LECM_BDP|LECM-BDP
LECM-BLU|Madrid (Covers Above FL345 Bilbao Sector) - Madrid|LECM_BLU|LECM-BLU
LECM-PAU|Madrid (Covers Above FL345 Pamplona Sector) - Madrid|LECM_PAU|LECM-PAU
LECM-R2|Madrid|LECM_R2|LECM-R2
LECM-ZMI|Madrid (Zamora Sector) - Madrid|LECM_ZMI|LECM-ZMI
LECM-ZMU|Madrid (Covers Above FL345 Zamora Sector) - Madrid|LECM_ZMU|LECM-ZMU
LECM-TLI|Madrid (Toledo Sector) - Madrid|LECM_TLI|LECM-TLI
LECM-TLU|Madrid (Covers Above FL345 Toledo Sector) - Madrid|LECM_TLU|LECM-TLU
LECM-CZI|Madrid (Castejon-Zaragoza Sector) - Madrid|LECM_CZI|LECM-CZI
LECM-CJU|Madrid (Covers Above FL345 Castejon Sector) - Madrid|LECM_CJU|LECM-CJU
LECP|Palma (FL245-)|LEPA|LECP
LECS|Sevilla||LECS
LECS-NCS|Sevilla (East) - Sevilla|LECS_NCS|LECS-NCS
LECS-SM2|Sevilla (West) - Sevilla|LECS_SM2|LECS-SM2
LFBB|Bordeaux||LFBB
LFBB-H|Bordeaux ACC (FL195+) - Bordeaux|LFBB_H|LFBB-H
LFBB-L|Bordeaux ACC (FL195+) - Bordeaux|LFBB_L|LFBB-L
LFBB-N|Bordeaux ACC (FL195+) - Bordeaux|LFBB_N|LFBB-N
